datetime,price
Thu Feb  8 05:18:41 2018,28950.63
Thu Feb  8 05:22:40 2018,28950.63
Thu Feb  8 05:28:43 2018,28950.63
Thu Feb  8 05:32:43 2018,28950.63
Thu Feb  8 05:38:41 2018,28950.63
Thu Feb  8 05:42:41 2018,28950.63
Thu Feb  8 05:48:43 2018,28950.63
Thu Feb  8 05:52:43 2018,29452.8
Thu Feb  8 05:58:40 2018,29452.8
Thu Feb  8 06:02:41 2018,29452.8
Thu Feb  8 06:08:43 2018,29452.8
Thu Feb  8 06:12:43 2018,29367.04
Thu Feb  8 06:18:41 2018,29328.46
Thu Feb  8 06:22:40 2018,29341.85
Thu Feb  8 06:28:43 2018,29312.7
Thu Feb  8 06:32:43 2018,29258.75
Thu Feb  8 06:38:41 2018,29195.74
Thu Feb  8 06:42:41 2018,29141.21
Thu Feb  8 06:48:43 2018,29029.66
Thu Feb  8 06:52:43 2018,28932.87
Thu Feb  8 06:58:41 2018,28855.85
Thu Feb  8 07:02:41 2018,29053.99
Thu Feb  8 07:08:43 2018,28852.28
Thu Feb  8 07:12:43 2018,28819.82
Thu Feb  8 07:18:41 2018,28819.82
Thu Feb  8 07:22:41 2018,28819.82
Thu Feb  8 07:28:43 2018,28463.89
Thu Feb  8 07:32:43 2018,28463.89
Thu Feb  8 07:38:41 2018,28463.89
Thu Feb  8 07:42:41 2018,28463.89
Thu Feb  8 07:48:43 2018,28108.69
Thu Feb  8 07:52:43 2018,28108.69
Thu Feb  8 07:58:40 2018,28108.69
Thu Feb  8 08:02:41 2018,28108.69
Thu Feb  8 08:08:43 2018,28108.69
Thu Feb  8 08:12:43 2018,28108.69
Thu Feb  8 08:18:41 2018,28108.69
Thu Feb  8 08:22:40 2018,28108.69
Thu Feb  8 08:28:43 2018,28108.69
Thu Feb  8 08:32:43 2018,28108.69
Thu Feb  8 08:38:41 2018,28108.69
Thu Feb  8 08:42:41 2018,28263.22
Thu Feb  8 08:48:43 2018,28263.22
