datetime,price
Thu Feb  8 05:18:31 2018,24174.6
Thu Feb  8 05:22:31 2018,24097.17
Thu Feb  8 05:28:34 2018,24090.83
Thu Feb  8 05:32:33 2018,23997.31
Thu Feb  8 05:38:31 2018,23926.98
Thu Feb  8 05:42:31 2018,23871.94
Thu Feb  8 05:48:34 2018,23803.62
Thu Feb  8 05:52:34 2018,23828.97
Thu Feb  8 05:58:31 2018,23921.3
Thu Feb  8 06:02:32 2018,23819.0
Thu Feb  8 06:08:34 2018,23800.85
Thu Feb  8 06:12:34 2018,23820.92
Thu Feb  8 06:18:31 2018,23717.65
Thu Feb  8 06:22:31 2018,23669.19
Thu Feb  8 06:28:33 2018,23673.32
Thu Feb  8 06:32:34 2018,23381.48
Thu Feb  8 06:38:31 2018,23308.93
Thu Feb  8 06:42:32 2018,23276.8
Thu Feb  8 06:48:34 2018,23050.78
Thu Feb  8 06:52:34 2018,22984.96
Thu Feb  8 06:58:31 2018,22970.65
Thu Feb  8 07:02:31 2018,22951.09
Thu Feb  8 07:08:34 2018,22644.21
Thu Feb  8 07:12:34 2018,22455.34
Thu Feb  8 07:18:31 2018,22337.73
Thu Feb  8 07:22:31 2018,22300.53
Thu Feb  8 07:28:34 2018,22278.42
Thu Feb  8 07:32:34 2018,22219.32
Thu Feb  8 07:38:31 2018,22057.37
Thu Feb  8 07:42:32 2018,22004.0
Thu Feb  8 07:48:34 2018,21979.61
Thu Feb  8 07:52:33 2018,22085.84
Thu Feb  8 07:58:31 2018,21984.63
Thu Feb  8 08:02:31 2018,21963.76
Thu Feb  8 08:08:34 2018,22190.25
Thu Feb  8 08:12:34 2018,22369.4
Thu Feb  8 08:18:31 2018,22510.13
Thu Feb  8 08:22:31 2018,22662.63
Thu Feb  8 08:28:34 2018,22838.56
Thu Feb  8 08:32:34 2018,22851.75
Thu Feb  8 08:38:31 2018,22668.18
Thu Feb  8 08:42:31 2018,22620.73
Thu Feb  8 08:48:33 2018,22683.02
Thu Feb  8 08:52:33 2018,22874.33
Thu Feb  8 08:58:31 2018,22835.64
Thu Feb  8 09:02:31 2018,22701.22
Thu Feb  8 09:08:34 2018,22535.94
Thu Feb  8 09:12:34 2018,22459.28
Thu Feb  8 09:18:31 2018,22532.56
Thu Feb  8 09:22:31 2018,22558.02
Thu Feb  8 09:28:34 2018,22727.84
Thu Feb  8 09:32:34 2018,22776.41
Thu Feb  8 09:38:31 2018,22846.46
Thu Feb  8 09:42:31 2018,22936.32
Thu Feb  8 09:48:34 2018,23003.84
Thu Feb  8 09:52:33 2018,23049.42
Thu Feb  8 09:58:30 2018,23031.27
Thu Feb  8 10:02:31 2018,23010.25
Thu Feb  8 10:08:33 2018,23185.22
Thu Feb  8 10:12:33 2018,23203.11
Thu Feb  8 10:18:31 2018,23401.08
Thu Feb  8 10:22:31 2018,23379.96
Thu Feb  8 10:28:33 2018,23343.57
